;title;link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
61;Deadman Wonderland;https://myanimelist.net/anime/6880/Deadman_Wonderland;DEADMAN WONDERLAND;デッドマン・ワンダーランド;TV;12;Finished Airing;Apr 17, 2011 to Jul 3, 2011;Spring 2011;Sundays at 01:00 (JST);['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC'];Funimation;Manglobe;Manga;['Action', 'Horror', 'Sci-Fi', 'Supernatural'];['Gore', 'High Stakes Game', 'Survival'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.16;#3302;#102;1,180,178;6,589;['Crunchyroll', 'Funimation'];"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit.  But Ganta's nightmare is only just beginning.  The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.  [Written by MAL Rewrite]";;
62;Guilty Crown;https://myanimelist.net/anime/10793/Guilty_Crown;GUILTY CROWN;ギルティクラウン;TV;22;Finished Airing;Oct 14, 2011 to Mar 23, 2012;Fall 2011;Fridays at 01:15 (JST);['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Fujipacific Music', '1IN'];Funimation;Production I.G;Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Romantic Subtext', 'Super Power'];;24 min. per ep.;R - 17+ (violence & profanity);7.42;#2040;#103;1,164,825;16,772;['Crunchyroll', 'Funimation', ''];"On December 24, 2029—the day colloquially known as the ""Lost Christmas""—the Apocalypse Virus spread across Japan, bringing death to its citizens and plunging the country into utter chaos. In an effort to establish order, the United Nations sends the GHQ to assist with the crisis by containing the outbreak while removing all political autonomy in the process. A decade later, the country still lives under their control, unable to break free from their draconian rule.  Frustrated with the state of the nation, a resistance group named the Funeral Parlor aims to liberate Japan from the GHQ. Led by the charismatic Gai Tsutsugami, the group plots to steal a vial containing the ""Void Genome"" to further their goals. The vial falls into the hands of internet vocalist Inori Yuzuriha, who ends up being hunted by the GHQ's Anti-Bodies forces. Having nowhere to go, she seeks refuge in a warehouse where she meets Shuu Ouma—a socially awkward high school student who is a huge fan of her music.  Shuu gets dragged into the conflict the moment he rescues Inori, and the Void Genome shatters in his hand, granting him the ""Power of the Kings."" While learning how to control his grand new ability, Shuu must now fight to liberate Japan from its cruel oppressors.  [Written by MAL Rewrite]";;
63;Samurai Champloo;https://myanimelist.net/anime/205/Samurai_Champloo;SAMURAI CHAMPLOO;サムライチャンプルー;TV;26;Finished Airing;May 20, 2004 to Mar 19, 2005;Spring 2004;Saturdays at 10:30 (JST);['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG'];Funimation, Geneon Entertainment USA;Manglobe;Original;['Action', 'Adventure', 'Comedy'];['Historical', 'Samurai'];;24 min. per ep.;R - 17+ (violence & profanity);8.51;#121;#104;1,162,754;35,346;['Crunchyroll', 'Funimation'];"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son.  For their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other.  Set in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack.  [Written by MAL Rewrite]";;
64;Mononoke Hime;https://myanimelist.net/anime/164/Mononoke_Hime;Mononoke Hime;もののけ姫;Movie;1;Finished Airing;Jul 12, 1997;;;['Tokuma Shoten', 'Nippon Television Network'];GKIDS;Studio Ghibli;Original;['Action', 'Adventure', 'Award Winning', 'Fantasy'];;;2 hr. 13 min.;PG-13 - Teens 13 or older;8.67;#58;#105;1,162,455;20,124;['Netflix'];When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.  [Written by MAL Rewrite];;
65;Dragon Ball Z;https://myanimelist.net/anime/813/Dragon_Ball_Z;DBZ, Dragonball Z;ドラゴンボールZ;TV;291;Finished Airing;Apr 26, 1989 to Jan 31, 1996;Spring 1989;Wednesdays at 19:00 (JST);['Fuji TV'];Funimation;Toei Animation;Manga;['Action', 'Adventure', 'Comedy', 'Fantasy'];['Martial Arts', 'Super Power'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.16;#385;#107;1,154,005;35,305;['Crunchyroll', 'Funimation'];"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who presents himself as Gokuu's long-lost brother. He reveals that Gokuu is a warrior from the once powerful but now virtually extinct Saiyan race, whose homeworld was completely annihilated. When he was sent to Earth as a baby, Gokuu's sole purpose was to conquer and destroy the planet; but after suffering amnesia from a head injury, his violent and savage nature changed, and instead was raised as a kind and well-mannered boy, now fighting to protect others.  With his failed attempt at forcibly recruiting Gokuu as an ally, Raditz warns Gokuu's friends of a new threat that's rapidly approaching Earth—one that could plunge Earth into an intergalactic conflict and cause the heavens themselves to shake. A war will be fought over the seven mystical dragon balls, and only the strongest will survive in Dragon Ball Z.  [Written by MAL Rewrite]";;
66;Kimetsu no Yaiba: Yuukaku-hen;https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen;;鬼滅の刃 遊郭編;TV;11;Finished Airing;Dec 5, 2021 to Feb 13, 2022;Winter 2022;Sundays at 23:15 (JST);['Aniplex', 'Shueisha'];Aniplex of America, Crunchyroll;ufotable;Manga;['Action', 'Fantasy'];;Shounen;26 min. per ep.;R - 17+ (violence & profanity);8.82;#27;#108;1,141,612;22,604;['Crunchyroll', 'Funimation', '', '', '', '', '', '', '', '', '', '', '', ''];The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Pillar, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank demon.  [Written by MAL Rewrite];Historical;
67;Chainsaw Man;https://myanimelist.net/anime/44511/Chainsaw_Man;;チェンソーマン;TV;12;Finished Airing;Oct 12, 2022 to Dec 28, 2022;Fall 2022;Wednesdays at 00:00 (JST);['None found', 'add some'];None found, add some;MAPPA;Manga;['Action', 'Fantasy'];;Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.65;#65;#109;1,131,429;37,430;['Crunchyroll', 'Netflix', '', '', '', '', '', '', '', ''];Denji is robbed of a normal teenage life, left with nothing but his deadbeat father's overwhelming debt. His only companion is his pet, the chainsaw devil Pochita, with whom he slays devils for money that inevitably ends up in the yakuza's pockets. All Denji can do is dream of a good, simple life: one with delicious food and a beautiful girlfriend by his side. But an act of greedy betrayal by the yakuza leads to Denji's brutal, untimely death, crushing all hope of him ever achieving happiness.  Remarkably, an old contract allows Pochita to merge with the deceased Denji and bestow devil powers on him, changing him into a hybrid able to transform his body parts into chainsaws. Because Denji's new abilities pose a significant risk to society, the Public Safety Bureau's elite devil hunter Makima takes him in, letting him live as long as he obeys her command. Guided by the promise of a content life alongside an attractive woman, Denji devotes everything and fights with all his might to make his naive dreams a reality.  [Written by MAL Rewrite];Gore;
68;Kuroshitsuji;https://myanimelist.net/anime/4898/Kuroshitsuji;Kuro Shitsuji, Kuroshitsuzi;黒執事;TV;24;Finished Airing;Oct 3, 2008 to Mar 27, 2009;Fall 2008;Unknown;['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound'];Funimation, Aniplex of America;A-1 Pictures;Manga;['Action', 'Comedy', 'Mystery', 'Supernatural'];['Historical', 'Mythology'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.67;#1217;#112;1,117,994;21,813;['Funimation', 'Netflix'];"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?  In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart.  [Written by MAL Rewrite]";;
69;JoJo no Kimyou na Bouken Part 3: Stardust Crusaders;https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders;Dai San Bu Kuujou Joutarou: Mirai e no Isan, JoJo's Bizarre Adventure Part 3;ジョジョの奇妙な冒険 スターダストクルセイダース;TV;24;Finished Airing;Apr 5, 2014 to Sep 13, 2014;Spring 2014;Saturdays at 00:30 (JST);['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha'];VIZ Media;David Production;Manga;['Action', 'Adventure', 'Drama', 'Supernatural'];;Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.10;#462;#113;1,113,581;20,611;['Crunchyroll', 'Netflix', ''];"Years after an ancient evil was salvaged from the depths of the sea, Joutarou Kuujou sits peacefully within a Japanese jail cell. He's committed no crime yet demands he not be released, believing he's been possessed by an evil spirit capable of harming those around him. Concerned for her son, Holly Kuujou asks her father, Joseph Joestar, to convince Joutarou to leave the prison. Joseph informs his grandson that the ""evil spirit"" is in fact something called a ""Stand,"" the physical manifestation of one's fighting spirit which can adopt a variety of deadly forms. After a fiery brawl with Joseph's friend Mohammed Avdol, Joutarou is forced out of his cell and begins learning how to control the power of his Stand.  However, when a Stand awakens within Holly and threatens to consume her in 50 days, Joutarou, his grandfather, and their allies must seek out and destroy the immortal vampire responsible for her condition. They must travel halfway across the world to Cairo, Egypt and along the way, do battle with ferocious Stand users set on thwarting them. If Joutarou and his allies fail in their mission, humanity is destined for a grim fate.  [Written by MAL Rewrite]";;
70;Dororo;https://myanimelist.net/anime/37520/Dororo;Dororo to Hyakkimaru;どろろ;TV;24;Finished Airing;Jan 7, 2019 to Jun 24, 2019;Winter 2019;Mondays at 22:30 (JST);['Twin Engine'];Sentai Filmworks;Tezuka Productions, MAPPA;Manga;['Action', 'Adventure', 'Supernatural'];['Historical', 'Mythology', 'Samurai'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.24;#303;#116;1,110,628;18,767;[];The greedy samurai lord Daigo Kagemitsu's land is dying, and he would do anything for power, even renounce Buddha and make a pact with demons. His prayers are answered by 12 demons who grant him the power he desires by aiding his prefecture's growth, but at a price. When Kagemitsu's first son is born, the boy has no limbs, no nose, no eyes, no ears, nor even skin—yet still, he lives.  This child is disposed of in a river and forgotten. But as luck would have it, he is saved by a medicine man who provides him with prosthetics and weapons, allowing for him to survive and fend for himself. The boy lives and grows, and although he cannot see, hear, or feel anything, he must defeat the demons that took him as sacrifice. With the death of each one, he regains a part of himself that is rightfully his. For many years he wanders alone, until one day an orphan boy, Dororo, befriends him. The unlikely pair of castaways now fight for their survival and humanity in an unforgiving, demon-infested world.  [Written by MAL Rewrite];;
71;Kyoukai no Kanata;https://myanimelist.net/anime/18153/Kyoukai_no_Kanata;Beyond the Horizon;境界の彼方;TV;12;Finished Airing;Oct 3, 2013 to Dec 19, 2013;Fall 2013;Thursdays at 00:30 (JST);['Lantis', 'Pony Canyon', 'TBS'];Sentai Filmworks;Kyoto Animation;Light novel;['Action', 'Fantasy'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.73;#1063;#118;1,106,666;11,613;['HIDIVE'];"Mirai Kuriyama is the sole survivor of a clan of Spirit World warriors with the power to employ their blood as weapons. As such, Mirai is tasked with hunting down and killing ""youmu""—creatures said to be the manifestation of negative human emotions. One day, while deep in thought on the school roof, Mirai comes across Akihito Kanbara, a rare half-breed of youmu in human form. In a panicked state, she plunges her blood saber into him only to realize that he's an immortal being. From then on, the two form an impromptu friendship that revolves around Mirai constantly trying to kill Akihito, in an effort to boost her own wavering confidence as a Spirit World warrior. Eventually, Akihito also manages to convince her to join the Literary Club, which houses two other powerful Spirit World warriors, Hiroomi and Mitsuki Nase.  As the group's bond strengthens, however, so does the tenacity of the youmu around them. Their misadventures will soon turn into a fight for survival as the inevitable release of the most powerful youmu, Beyond the Boundary, approaches.  [Written by MAL Rewrite]";School;
72;Tokyo Revengers;https://myanimelist.net/anime/42249/Tokyo_Revengers;;東京リベンジャーズ;TV;24;Finished Airing;Apr 11, 2021 to Sep 19, 2021;Spring 2021;Sundays at 02:08 (JST);['Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'AT-X', 'Ultra Super Pictures', 'Studio Mausu', 'Sammy'];None found, add some;LIDENFILMS;Manga;['Action', 'Drama', 'Supernatural'];['Delinquents', 'Time Travel'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.03;#535;#119;1,101,815;24,502;['Crunchyroll', 'Netflix', '', '', ''];Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana.  After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.  [Written by MAL Rewrite];;
73;Tokyo Ghoul:re;https://myanimelist.net/anime/36511/Tokyo_Ghoul_re;Tokyo Kushu:re, Toukyou Kuushu:re;東京喰種トーキョーグール：re;TV;12;Finished Airing;Apr 3, 2018 to Jun 19, 2018;Spring 2018;Tuesdays at 23:00 (JST);['Marvelous', 'TC Entertainment'];Funimation;Pierrot, Pierrot Plus;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);6.38;#7391;#121;1,092,623;3,717;['Crunchyroll', 'Netflix', ''];Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem as they have begun taking caution, especially the terrorist organization Aogiri Tree, who acknowledge the CCG's growing threat to their existence.  The creation of a special team, known as the Quinx Squad, may provide the CCG with the push they need to exterminate Tokyo's unwanted residents. As humans who have undergone surgery in order to make use of the special abilities of ghouls, they participate in operations to eradicate the dangerous creatures. The leader of this group, Haise Sasaki, is a half-ghoul, half-human who has been trained by famed special class investigator, Kishou Arima. However, there's more to this young man than meets the eye, as unknown memories claw at his mind, slowly reminding him of the person he used to be.  [Written by MAL Rewrite];;
74;Log Horizon;https://myanimelist.net/anime/17265/Log_Horizon;;ログ・ホライズン;TV;25;Finished Airing;Oct 5, 2013 to Mar 22, 2014;Fall 2013;Saturdays at 17:30 (JST);['NHK'];Funimation, Sentai Filmworks;Satelight;Light novel;['Action', 'Adventure', 'Fantasy'];['Adult Cast', 'Video Game'];;25 min. per ep.;PG-13 - Teens 13 or older;7.93;#680;#124;1,063,957;10,074;['Crunchyroll', 'Funimation', ''];"In the blink of an eye, thirty thousand bewildered Japanese gamers are whisked from their everyday lives into the world of the popular MMORPG, Elder Tale, after the game's latest update—unable to log out. Among them is the socially awkward college student Shiroe, whose confusion and shock lasts only a moment as, a veteran of the game, he immediately sets out to explore the limits of his new reality.  Shiroe must learn to live in this new world, leading others and negotiating with the NPC ""natives"" in order to bring stability to the virtual city of Akihabara. He is joined by his unfortunate friend Naotsugu, having logged in for the first time in years only to find himself trapped, and Akatsuki, a petite but fierce assassin who labels Shiroe as her master. A tale of fantasy, adventure, and politics, Log Horizon explores the elements of gaming through the eyes of a master strategist who attempts to make the best of a puzzling situation.  [Written by MAL Rewrite]";;
75;Shingeki no Kyojin: The Final Season Part 2;https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2;Shingeki no Kyojin Season 4, Attack on Titan Season 4;進撃の巨人 The Final Season Part 2;TV;12;Finished Airing;Jan 10, 2022 to Apr 4, 2022;Winter 2022;Mondays at 00:05 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise'];None found, add some;MAPPA;Manga;['Action', 'Drama'];['Gore', 'Military', 'Survival'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.77;#36;#126;1,058,956;28,436;['Crunchyroll', 'Funimation', '', '', '', '', '', '', '', '', '', '', ''];Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.  Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.  Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.  [Written by MAL Rewrite];;
76;Nanatsu no Taizai: Imashime no Fukkatsu;https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu;Seven Deadly Sins Season 2;七つの大罪 戒めの復活;TV;24;Finished Airing;Jan 13, 2018 to Jun 30, 2018;Winter 2018;Saturdays at 06:30 (JST);['Aniplex', 'Dentsu', 'Kodansha', 'Movic', 'Sammy'];None found, add some;A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.60;#1386;#127;1,058,565;3,757;[];"The fierce battle between Meliodas, the captain of the Seven Deadly Sins, and the Great Holy Knight Hendrickson has devastating consequences. Armed with the fragments necessary for the revival of the Demon Clan, Hendrickson breaks the seal, allowing the Commandments to escape, all of whom are mighty warriors working directly under the Demon King himself. Through a mysterious connection, Meliodas instantly identifies them; likewise, the 10 Commandments, too, seem to sense his presence.  As the demons leave a path of destruction in their wake, the Seven Deadly Sins must find a way to stop them before the Demon Clan drowns Britannia in blood and terror.  [Written by MAL Rewrite]";;
77;Fate/Zero 2nd Season;https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season;Fate/Zero Second Season;フェイト/ゼロ 2ndシーズン;TV;12;Finished Airing;Apr 8, 2012 to Jun 24, 2012;Spring 2012;Sundays at 00:00 (JST);['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes'];Aniplex of America;ufotable;Light novel;['Action', 'Fantasy', 'Supernatural'];;;24 min. per ep.;R - 17+ (violence & profanity);8.56;#95;#128;1,055,822;19,906;['Crunchyroll', 'Netflix'];As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win.  Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat.  [Written by MAL Rewrite];;
78;Devilman: Crybaby;https://myanimelist.net/anime/35120/Devilman__Crybaby;;DEVILMAN crybaby;ONA;10;Finished Airing;Jan 5, 2018;;;['Aniplex', 'Dynamic Planning', 'Netflix'];None found, add some;Science SARU;Manga;['Action', 'Avant Garde', 'Horror', 'Supernatural'];['Gore', 'Mythology'];Shounen;25 min. per ep.;R+ - Mild Nudity;7.76;#1002;#129;1,052,322;22,518;['Netflix'];Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman.  Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons.  Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones.  [Written by MAL Rewrite];;
79;Boku no Hero Academia 5th Season;https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season;My Hero Academia 5;僕のヒーローアカデミア;TV;25;Finished Airing;Mar 27, 2021 to Sep 25, 2021;Spring 2021;Saturdays at 17:30 (JST);['Dentsu', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Funimation;Bones;Manga;;['School', 'Super Power'];Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.40;#2088;#130;1,044,959;10,005;['Crunchyroll', 'Funimation', '', '', '', '', '', '', '', '', '', ''];"UA Academy's Class 1-A has been the focus of a substantial amount of public attention due to the multiple villain attacks they have faced over the past school year. This attention has left Class 1-A's rivals, Class 1-B, feeling quite bitter. Desiring to prove their skills, they look forward to the opportunity that has been given to them: a set of mock battles between the students of each class.  The classes are split into squads of four, each of which is tasked with capturing the other group members. The winner is the group who first secures all of the opposing team. While this sounds simple, a curveball is thrown into the mix with the inclusion of General Course Student Hitoshi Shinsou, who wishes to transfer into the Hero Course. Despite using his training with Class 1-A's homeroom teacher Shouta ""Eraserhead"" Aizawa to prove that he's capable of being a real hero, he is still far behind the others due to his lack of experience. However, Shinsou is determined to overcome this challenge.  Thus begins the fiery competition between Class 1-A and 1-B as each tries to prove that they are superior to the other.  [Written by MAL Rewrite]";;Action
80;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Diamond is not Crash;ジョジョの奇妙な冒険 ダイヤモンドは砕けない;TV;39;Finished Airing;Apr 2, 2016 to Dec 24, 2016;Spring 2016;Saturdays at 00:30 (JST);['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha'];VIZ Media;David Production;Manga;['Action', 'Adventure', 'Supernatural'];;Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.50;#125;#131;1,022,923;37,144;['Crunchyroll', 'Netflix', ''];The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.  Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.  [Written by MAL Rewrite];;
81;Goblin Slayer;https://myanimelist.net/anime/37349/Goblin_Slayer;;ゴブリンスレイヤー;TV;12;Finished Airing;Oct 7, 2018 to Dec 30, 2018;Fall 2018;Sundays at 00:30 (JST);['Sony Pictures Entertainment', 'Frontier Works', 'AT-X', 'SoftBank Creative', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'Good Smile Film', 'Artist Management Office'];Funimation;White Fox;Light novel;['Action', 'Adventure', 'Fantasy'];;;23 min. per ep.;R - 17+ (violence & profanity);7.42;#2039;#132;1,021,015;6,814;['Crunchyroll', 'Funimation', ''];Goblins are known for their ferocity, cunning, and rapid reproduction, but their reputation as the lowliest of monsters causes their threat to be overlooked. Raiding rural civilizations to kidnap females of other species for breeding, these vile creatures are free to continue their onslaught as adventurers turn a blind eye in favor of more rewarding assignments with larger bounties.  To commemorate her first day as a Porcelain-ranked adventurer, the 15-year-old Priestess joins a band of young, enthusiastic rookies to investigate a tribe of goblins responsible for the disappearance of several village women. Unprepared and inexperienced, the group soon faces its inevitable demise from an ambush while exploring a cave. With no one else left standing, the terrified Priestess accepts her fate—until the Goblin Slayer unexpectedly appears to not only rescue her with little effort, but destroy the entire goblin nest.  As a holder of the prestigious Silver rank, the Goblin Slayer allows her to accompany him as he assists the Adventurer's Guild in all goblin-related matters. Together with the Priestess, High Elf, Dwarf, and Lizardman, the armored warrior will not rest until every single goblin in the frontier lands has been eradicated for good.  [Written by MAL Rewrite];Gore;
