;user;user_link
34.0;hanakunoichi;https://myanimelist.net/profile/hanakunoichi
37.0;JohnnyDinh75;https://myanimelist.net/profile/JohnnyDinh75
41.0;hibiki1014;https://myanimelist.net/profile/hibiki1014
46.0;yuukapls;https://myanimelist.net/profile/yuukapls
47.0;MrEchi;https://myanimelist.net/profile/MrEchi
3.0;NekoEgi;https://myanimelist.net/profile/NekoEgi
5.0;Whitewingsofilia;https://myanimelist.net/profile/Whitewingsofilia
6.0;kayforpay;https://myanimelist.net/profile/kayforpay
18.0;Trapzinha;https://myanimelist.net/profile/Trapzinha
20.0;hisoshi;https://myanimelist.net/profile/hisoshi
21.0;felipesantiagov;https://myanimelist.net/profile/felipesantiagov
31.0;shoxs84;https://myanimelist.net/profile/shoxs84
38.0;henrylists;https://myanimelist.net/profile/henrylists
42.0;_Coywolf;https://myanimelist.net/profile/_Coywolf
46.0;titancc;https://myanimelist.net/profile/titancc
47.0;Clairefairy;https://myanimelist.net/profile/Clairefairy
48.0;DaydreamNugget;https://myanimelist.net/profile/DaydreamNugget
49.0;Paperwhales;https://myanimelist.net/profile/Paperwhales
2.0;blackluster21;https://myanimelist.net/profile/blackluster21
3.0;Quincy712;https://myanimelist.net/profile/Quincy712
4.0;Godi7;https://myanimelist.net/profile/Godi7
5.0;Bored_Weeb;https://myanimelist.net/profile/Bored_Weeb
7.0;DukeAlmond;https://myanimelist.net/profile/DukeAlmond
11.0;JoJoJoJolion;https://myanimelist.net/profile/JoJoJoJolion
14.0;CaioOP1985;https://myanimelist.net/profile/CaioOP1985
15.0;Vlakom;https://myanimelist.net/profile/Vlakom
18.0;SilentKitsune_95;https://myanimelist.net/profile/SilentKitsune_95
19.0;Shubham_m;https://myanimelist.net/profile/Shubham_m
20.0;Moonspeak;https://myanimelist.net/profile/Moonspeak
22.0;Saxima;https://myanimelist.net/profile/Saxima
25.0;LowTierLowain;https://myanimelist.net/profile/LowTierLowain
27.0;DragonR33DE;https://myanimelist.net/profile/DragonR33DE
28.0;Tybirius_R;https://myanimelist.net/profile/Tybirius_R
30.0;YoungAcademia;https://myanimelist.net/profile/YoungAcademia
31.0;Dahuynh;https://myanimelist.net/profile/Dahuynh
34.0;Christian-anime;https://myanimelist.net/profile/Christian-anime
35.0;xjermss;https://myanimelist.net/profile/xjermss
40.0;Yukiwinter;https://myanimelist.net/profile/Yukiwinter
42.0;Jacuzzi_Splotz;https://myanimelist.net/profile/Jacuzzi_Splotz
43.0;teafox;https://myanimelist.net/profile/teafox
46.0;Thanerak;https://myanimelist.net/profile/Thanerak
