;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
8;Kai Douryoku;https://myanimelist.net/anime/29381/Kai_Douryoku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;快動力;Movie;1;Finished Airing;1994;['None found', 'add some'];None found, add some;None found, add some;Unknown;;Unknown;PG-13 - Teens 13 or older;N/A;#20356;#18641;183;0;['Avant Garde', 'Sci-Fi'];;;[];"Not much is known about the piece compared to its award-winning ""Real"" counterpart made 4 years later.";;Free Power, Satisfaction, Kaido-Ryoku, Kaidohryoku
9;Rain: Memory of Cloud. 1;https://myanimelist.net/anime/42276/Rain__Memory_of_Cloud_1;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;RAIN―MEMORY OF CLOUD. 1;Movie;1;Finished Airing;1996;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;R+ - Mild Nudity;N/A;#15865;#18634;183;0;;;;[];A psychedelic anime that starts with irregular ink bleeding and develops with increasing degree of chaos.;;
10;Mugen no Ao;https://myanimelist.net/anime/50973/Mugen_no_Ao;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;無限のァ才;Music;1;Finished Airing;Feb 4, 2022;['None found', 'add some'];None found, add some;None found, add some;Original;;6 min.;G - All Ages;N/A;#14870;#18654;182;0;['Avant Garde', 'Sci-Fi'];['Music', 'Space'];;[];Official music video for Infinite Blue by Billain.;;
11;Shayou;https://myanimelist.net/anime/38641/Shayou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;斜陽;Movie;1;Finished Airing;2007;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#16341;#18659;182;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Music;
12;Umi no Uta;https://myanimelist.net/anime/43432/Umi_no_Uta;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;海の唄;Movie;1;Finished Airing;1988;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;30 min.;G - All Ages;N/A;#20870;#18661;182;0;;;;[];In a fishing village, a scrapped boat is cremated. Old fishing boats on the verge of death dream of deep-sea fish running through alleys, fishermen pulling their nets, the crying specter of a young girl... Various imagery appear and retreat like waves on a shore, inviting viewers into a daydream.  This poetic film garnered critical acclaim at an international scale, starting at the Oberhausen international short film festival.;;
13;Umi;https://myanimelist.net/anime/41451/Umi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;海;Music;1;Finished Airing;Dec 2, 2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;G - All Ages;N/A;#20866;#18708;181;0;;;;[];"Music video by Yoriko Mizushiri for the song Umi by Japanese band Kuchiroro that was featured on their sixth album ""everyday is a symphony"".";Music;
14;Line;https://myanimelist.net/anime/42271/Line;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;LINE;Movie;1;Finished Airing;1989;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#14200;#18725;180;0;;;;[];The scenery of the stream in the forest and the Kamogawa flowing through the city of Kyoto and the abstract animation inspired by it are juxtaposed.;;
15;Execute;https://myanimelist.net/anime/42802/Execute;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Execute;Special;1;Finished Airing;2019;['CEKAI', 'MTV Japan'];None found, add some;None found, add some;Original;Avant Garde;10 sec.;G - All Ages;N/A;#18976;#18729;178;0;;;;[];A station ID by Naoya Hirata for MTV ULTRAHITS.;Music;MTV Ultrahits
16;New Tribe;https://myanimelist.net/anime/42988/New_Tribe;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;New Tribe;Music;1;Finished Airing;Jan 23, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#15090;#18739;179;2;;;;[];"Music video by AC-bu for the song New Tribe by Japanese experimental electronic artist Powder (Momoko Goto) from her album ""Powder In Space"".";Music;
17;An Instant;https://myanimelist.net/anime/41745/An_Instant;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;AN INSTANT;Movie;1;Finished Airing;2003;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#17581;#18773;175;0;;;;[];Azuru Isshiki’s animated short An Instant, pares the art of animation down to its essentials: A series of images drawn in paint on paper. It begins and ends with a small dot, but in-between Isshiki explores the full range of expression possible with just simple animation tools. The film consists of just black and red paint on a variety of different papers. Dots, lines, and spirals dance across the screen, as does a cheerful female figure.  (Source: Nishikata Film Review);Music;
18;Lotus;https://myanimelist.net/anime/42280/Lotus;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;LOTUS;Movie;1;Finished Airing;2007;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#14258;#18784;175;0;;;;[];Vividly colored psychedelic animation.;;
19;Gummies;https://myanimelist.net/anime/42801/Gummies;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gummies;Special;1;Finished Airing;2019;['CEKAI', 'MTV Japan'];None found, add some;None found, add some;Original;Avant Garde;10 sec.;G - All Ages;N/A;#19403;#18789;174;0;;;;[];A station ID by Kanta Mochida for MTV ULTRAHITS.;Music;MTV Ultrahits
20;Miminari;https://myanimelist.net/anime/42275/Miminari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;耳鳴り;Movie;1;Finished Airing;1995;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;R+ - Mild Nudity;N/A;#14654;#18793;174;0;;;;[];A colorful psychedelic animation that draws on motifs of various parts of the ear and body.;;Ringing in the ears
21;SAIGO;https://myanimelist.net/anime/34417/SAIGO;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SAIGO;Movie;1;Finished Airing;2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;2 min.;G - All Ages;N/A;#16071;#18827;172;0;;;;[];Light animation by TOCHKA.  Takamori Saigo was born in Kagoshima in 1828 and has been dubbed the last true samurai who is still loved by the people of Kagoshima. Saigo committed harakiri in the Battle of Shiroyama in 1877. Nobody knows what he actually looked like since he only appears in an etching and drawings. No photos of him at all.  The directors visited Saigo's descendants to ask for his facial features and characteristics for this film. Now Saigo has come back to life in animation, and he wanders around in towns and Sakurajima, an active composite volcano in Kagoshima. This is an experimental animation done by using penlights.  (Source: The Guanajuato International Film Festival);;
22;Sigh of Sighs;https://myanimelist.net/anime/50241/Sigh_of_Sighs;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;Jun 6, 2018;['None found', 'add some'];None found, add some;VCRWORKS;Original;Avant Garde;5 min.;PG-13 - Teens 13 or older;N/A;#16728;#18829;172;1;;;;[];A whale is being neglected and decayed since it has been drifted on the shore of Han River. Such strange things happened but no one in the city cares, only a dog and birds are around the whale. These sceneries are a remembrance of the depression which has been hanging over South Korea quite a while.  (Source: vcrworks.kr);Psychological;
23;Hannyashingyou;https://myanimelist.net/anime/38861/Hannyashingyou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;般若心經;Movie;1;Finished Airing;2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;6 min.;None;N/A;#19530;#18853;170;0;;;;[];A film by Keiichi Tanaami.;;Heart Sutra
24;Kuku★Nenbutsu;https://myanimelist.net/anime/42015/Kuku%E2%98%85Nenbutsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;苦苦★念仏;Music;1;Finished Airing;Sep 11, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;PG-13 - Teens 13 or older;N/A;#14002;#18857;170;0;;;;[];"Music video directed by Takashi Taniguchi for the song Kuku★Nenbutsu by Japanese rock band 88Kasyo Junrei that was featured on their fourth studio album ""0088"".";Music;
25;Kara no Tamago;https://myanimelist.net/anime/38848/Kara_no_Tamago;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;空の卵;Movie;1;Finished Airing;2012;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;10 min.;None;N/A;#20507;#18882;169;0;;;;[];The film is about a family, [that] runs a chicken farm. The boy hankers after birds and his little sister keeps an eye on him. The father loves eggs. The mother loves somebody else. In the family fixture, each member stays there with bias or secrets.;;
26;Kidou;https://myanimelist.net/anime/42274/Kidou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;気動;Movie;1;Finished Airing;1994;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#20624;#18886;169;0;;;;[];"Similar to ""SPIN"", it is an abstract animation with delicate line drawings. There are single color and color versions. The songs used in the work are handled by Shigenobu Nakamura, as in the previous work.";;Moving
27;Kaze no Sei;https://myanimelist.net/anime/39540/Kaze_no_Sei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;風の精;Movie;1;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;6 min.;PG-13 - Teens 13 or older;N/A;#20546;#18891;168;0;;;;[];The story of a mother, her baby, and a wind spirit, and their journey in the sky.  (Source: Official Website);;Wind Spirit
28;A Viva Non Non;https://myanimelist.net/anime/50909/A_Viva_Non_Non;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;あびばのんのん;Music;1;Finished Airing;Aug 11, 2021;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;N/A;#17455;#18918;167;0;;;;[];A music video for a song A Viva Non Non by Tempalay, animated by Mirai Mizue and Hoji Tsuchiya, and directed by OSRIN.;Music;
29;Timeless Tree;https://myanimelist.net/anime/43323/Timeless_Tree;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;timeless tree;Music;1;Finished Airing;Apr 25, 2019;"[""Toy's Factory""]";None found, add some;Saigo no Shudan;Original;Avant Garde;4 min.;G - All Ages;N/A;#17301;#18914;167;0;;;;[];"Music video directed by Saigo no Shudan and Tomomi Hayashi for the song timeless tree by Japanese jazz and rock musical duo EGO-WRAPPIN' from their ninth studio album ""Dream Baby Dream"".";Music;
30;Mukashi no Yama;https://myanimelist.net/anime/39541/Mukashi_no_Yama;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;むかしの山;Movie;1;Finished Airing;2017;['None found', 'add some'];None found, add some;None found, add some;Other;Avant Garde;3 min.;G - All Ages;N/A;#14882;#18935;166;0;;;;[];Inspired by Katsuhiko Kamimura's Myths of India, a collection of short stories on Hindu mythology, Mukashi no Yama tells a poetic and humerus tale about mountains that could fly. When they fell to the ground, the earth shook with a great sound.  (Source: Official Website);;Old Mountain
31;Truth;https://myanimelist.net/anime/41448/Truth;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;TRUTH;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;2 min.;G - All Ages;N/A;#20713;#18952;165;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Music;
32;Airs;https://myanimelist.net/anime/45583/Airs;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;エアーズ;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;8 min.;G - All Ages;N/A;#17505;#18959;164;0;;;;[];"A TV show that is so unclear to whom and where it is broadcast. A strange room where the recording and editing is taking place. A middle-aged gentleman like a wax figure sits on a turntable and grabs the microphone as the director signals him to do so. A reading about the mysterious genre ""Ficfyon"" has begun. 'What the heck did we not have time for?' The monologue of a man sitting in the audience and continuing to talk about his story will soon move into Ficfyon prophecies about the 2000s.  (Source: CaRTe bLaNChe)";;
33;Sekisou-tai;https://myanimelist.net/anime/34718/Sekisou-tai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;積層体;Movie;1;Finished Airing;1982;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;N/A;#16226;#18974;163;0;;;;[];By changing the overlapping of sections in the time axis / space axis, the laminate based on the die cut of the hand transforms into various shapes.;;
34;Matierica;https://myanimelist.net/anime/43429/Matierica;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;マチェーリカ;Movie;1;Finished Airing;2017;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;30 min.;G - All Ages;N/A;#14458;#18994;162;1;;;;[];A daring film that pierces through the hearts of viewers by discarding the charming characters, interesting stories, beautiful drawings, fluid movement and pleasing music associated with anime, while remaining firmly in the medium of animation.;;
35;Yume Utsutsu (2010);https://myanimelist.net/anime/48972/Yume_Utsutsu_2010;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ゆめうつつ;Movie;1;Finished Airing;Aug 9, 2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;N/A;#21883;#19000;162;0;;;;[];A short animation by Ryoji Yamada combining dreams and pictures.;;Yumeutsutsu
36;Around the World!;https://myanimelist.net/anime/43385/Around_the_World;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;Jan 31, 2008;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;PG-13 - Teens 13 or older;N/A;#17668;#19009;161;0;;;;[];Naoki Yoshibe's graduation work.;;
37;Mizushiri Yoriko no Yorinuki Yoriko-san;https://myanimelist.net/anime/41452/Mizushiri_Yoriko_no_Yorinuki_Yoriko-san;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;水尻自子のよりぬき自子さん;Movie;7;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;41 sec. per ep.;G - All Ages;N/A;#14728;#19022;160;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
38;Walls;https://myanimelist.net/anime/38847/Walls;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Walls;Movie;1;Finished Airing;2010;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;N/A;#20963;#19032;160;0;;;;[];A man walks in a crowd. He cannot stand the crowd but to cover his ears. Then it disappears and he gets lost in a white void space. In that space there is no other man but himself. He had nothing to identify himself and his existence was to come to naught. He starts to struggle to get away from there.;;
39;Issunboushi (2007);https://myanimelist.net/anime/38862/Issunboushi_2007;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;一寸法師;Movie;1;Finished Airing;2007;['None found', 'add some'];None found, add some;None found, add some;Other;Avant Garde;4 min.;R+ - Mild Nudity;N/A;#20055;#19056;158;1;;;;[];A collaborative film between Keiichi Tanaami and Nobuhiro Aihara with a new interpretation of the traditional Japanese folk tale.;Historical;Issun-boushi
40;The Dawn of Ape;https://myanimelist.net/anime/49332/The_Dawn_of_Ape;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;THE DAWN OF APE;Movie;1;Finished Airing;Jul 27, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#17209;#19079;158;0;;;;[];Here is the world's first animation made to be watched by chimpanzees. Just for this once, we will show it to you humans.  (Source: Annecy International Animation Film Festival);;
41;Nu ta;https://myanimelist.net/anime/48420/Nu_ta;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;女他;Movie;1;Finished Airing;Jun 20, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;;1 hr. 35 min.;PG-13 - Teens 13 or older;N/A;#15220;#19109;155;0;['Avant Garde', 'Fantasy'];;;[];In a totalitarian and male chauvinist world, a female high-heeled shoe named Mulan Hua rebels against the baby shoe factory to protect her baby girl from being transformed into a male shoe. To raise her daughter, she later has to disguise herself as a male sturdy shoe and works day and night in a capitalist cigarette factory. The story is not only about a mother’s sacrifice and a feminist’s revenge, but also has a political undertone of the intoxication of power.  (Source: mulanfestival.com);;
42;Yamakagashi;https://myanimelist.net/anime/49194/Yamakagashi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;やまかがし;Movie;1;Finished Airing;Mar 1972;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;R+ - Mild Nudity;N/A;#21663;#19138;154;0;;;;[];This work, the title of which refers to a species of venomous snake, focuses on interactions between troops and sex workers near Naval Air Facility Atsugi (Kanagawa Prefecture), animated from a child’s perspective. Aihara’s works of this period often incorporate a documentary viewpoint of Japanese society at the time of his childhood.  (Source: Collaborative Cataloging Japan);;Rhabdophis Tigrinus
43;Rainbow Scene;https://myanimelist.net/anime/38871/Rainbow_Scene;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;RAINBOW・SCENE;Movie;1;Finished Airing;1971;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;11 min.;None;N/A;#15868;#19188;151;0;;;;[];A triple projection film where the projections are positioned side-by-side.  (Source: Collaborative Cataloging Japan);;
44;Rapport;https://myanimelist.net/anime/51060/Rapport;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Rapport;Music;1;Finished Airing;Nov 23, 2021;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;N/A;#15881;#19199;150;1;;;;[];Official music video for the song Rapport by Tatsuya Kitani.;Music;
45;AEON;https://myanimelist.net/anime/51095/AEON;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;Jul 23, 2019;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;N/A;#17470;#19238;148;0;;;;[];Self-replicating entities that have evolved on different planets merge and proliferate exponentially. In search of more energy sources, they consume other stars.  (Source: YouTube);;
46;Green Red;https://myanimelist.net/anime/38874/Green_Red;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GREEN・RED;Movie;1;Finished Airing;1971;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;12 min.;R+ - Mild Nudity;N/A;#19345;#19246;147;0;;;;[];A photograph of a seated heterosexual couple, naked apart from their long necklaces, is rephotographed with a fixed camera that zooms outwards in one take. The colors subtly shift as the camera zooms out from their arm to eventually reveal their bodies over twelve minutes. Screened at the 3rd Sogetsu Animation Festival 1971.  (Source: Collaborative Cataloging Japan);;
47;Housenka;https://myanimelist.net/anime/49196/Housenka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;逢仙花;Movie;1;Finished Airing;Apr 1973;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;13 min.;G - All Ages;N/A;#19812;#19267;146;0;;;;[];Photographs of the artist’s grandmother are superimposed with animation that traces her life, and the work ends with the memorial photograph displayed at her funeral. A sense of tranquility pervades this documentary animation work.  (Source: Collaborative Cataloging Japan);;
48;5-tsu no Yubi no Niwa;https://myanimelist.net/anime/51823/5-tsu_no_Yubi_no_Niwa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;5つの指の庭;Movie;1;Finished Airing;Aug 30, 1988;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;N/A;#17441;#19272;145;0;;;;[];"A stop motion animation using several phenakistoscopes of a polyhedron and other materials. Five ""Egg birds"" appears in the artificial garden.  (Source: TMDB)";Music;
49;Matter;https://myanimelist.net/anime/50243/Matter;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;MATTER;Special;1;Finished Airing;2017;['None found', 'add some'];None found, add some;VCRWORKS;Original;Avant Garde;27 sec.;G - All Ages;N/A;#14466;#19280;145;0;;;;[];Animation for Design Art Fair (Seoul Art Center, 2017)  (Source: vcrworks.kr);;
50;Technology Shamanism;https://myanimelist.net/anime/48709/Technology_Shamanism;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Technology Shamanism;Music;1;Finished Airing;Jun 9, 2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;8 min.;G - All Ages;N/A;#17153;#19287;146;0;;;;[];Music video by VJ Akashic for the song Technology Shamanism by JunxPunx.;Music;
51;Get Back on the Hill;https://myanimelist.net/anime/38877/Get_Back_on_the_Hill;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GET BACK ON THE HILL;Movie;1;Finished Airing;1974;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;12 min.;None;N/A;#19260;#19304;144;0;;;;[];This film was made based on Tanaami’s fear of heights and his experience of seeing New York from the rooftop of a 50-floor apartment. Even the quotidian activity of walking across a zebra crossing becomes an abstract image observed from these heights. Using the process of color separation, the colors shift across each frame and create a surreal universe.  (Source: Collaborative Cataloging Japan);;
52;Redai Fuyan;https://myanimelist.net/anime/53840/Redai_Fuyan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;熱帶複眼;Movie;1;Finished Airing;Nov 2, 2022;['None found', 'add some'];None found, add some;None found, add some;Original;;17 min.;None;N/A;#15890;#19294;144;0;['Avant Garde', 'Drama'];;;[];The film is inspired by the costumes of folk art performers at Taiwan's ceremonial festivals. Adapted from the Southeast Asian folktale The Mousedeer Crosses River, it integrates similar folktale narratives from different countries to create animated puppet dancers.  (Source: Goldenhorse);;
53;She;https://myanimelist.net/anime/38873/She;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SHE;Movie;1;Finished Airing;1971;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;8 min.;None;N/A;#16342;#19296;144;0;;;;[];An early film by Keiichi Tanaami.;;
54;Tentai Fu;https://myanimelist.net/anime/51922/Tentai_Fu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;天体譜;Movie;1;Finished Airing;1987;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;2 min.;G - All Ages;N/A;#17186;#19385;138;0;;;;[];Using the constellation as a motif, the heavens and the earth, metamorphose all creatures.  (Source: YouTube);;
55;Sweet Touch of Love;https://myanimelist.net/anime/38878/Sweet_Touch_of_Love;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SWEET TOUCH OF LOVE;Movie;1;Finished Airing;1974;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;None;N/A;#16992;#19409;137;0;;;;[];The film is comprised of a countdown leader that goes backwards and forwards mixed in with an animated Marilyn Monroe seductively eating a banana. It was made for the 1st 100-ft Film Festival, organized by the Underground Center, with a line-up of works made with one 100-ft reel of film.  (Source: Collaborative Cataloging Japan);;
56;Atama;https://myanimelist.net/anime/52924/Atama;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ATAMA;Special;1;Finished Airing;1994;['None found', 'add some'];None found, add some;None found, add some;Original;;23 sec.;R - 17+ (violence & profanity);N/A;#17697;#19419;136;0;['Avant Garde', 'Horror', 'Suspense'];['Gore', 'Psychological'];;[];Short animation by Keita Kurosaka for MTV Japan.;;
57;Jam Pot;https://myanimelist.net/anime/38875/Jam_Pot;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;JAM POT;Movie;1;Finished Airing;1971;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;24 min.;R+ - Mild Nudity;N/A;#20082;#19425;136;0;;;;[];Described by filmmaker Nobuhiro Kawanaka as ‘sexier than sex itself’, the film intercuts between close-up images of a naked heterosexual couple and long shots of a bamboo forest taken from above using a helicopter. The edited cut was projected and rephotographed using high contrast black-and-white film, which was printed in 80-100 types of color gradations at the laboratory, creating what looked like a posterization effect.  (Source: Collaborative Cataloging Japan);;
58;Quails;https://myanimelist.net/anime/51757/Quails;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;うずら;Movie;1;Finished Airing;Apr 15, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;PG-13 - Teens 13 or older;N/A;#15852;#19434;135;0;;;;[];Short animation by Mirai Mizue made with an iPad and McLaren's Workshop. Dedicated to Norman McLaren.;;
59;U.F.O;https://myanimelist.net/anime/38876/UFO;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;U.F.O;Movie;1;Finished Airing;1973;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;None;N/A;#20818;#19436;135;0;;;;[];Without using a camera, this film was made on an optical printer with a countdown leader as its primary visual subject. Tanaami gave frame-by-frame color printing instructions to his film laboratory by phone to create the film.  (Source: Collaborative Cataloging Japan);;
60;Chameleon (Music);https://myanimelist.net/anime/52510/Chameleon_Music;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;カメレオン;Music;1;Finished Airing;Mar 14, 2022;['None found', 'add some'];None found, add some;PERIMETRON;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;N/A;#18206;#19458;133;0;;;;[];Music video for the song Chameleon by King Gnu.;Music;
61;Madonna no Yuuwaku;https://myanimelist.net/anime/38870/Madonna_no_Yuuwaku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;マドンナの誘惑;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;R+ - Mild Nudity;N/A;#14319;#19449;133;0;;;;[];A film by Keiichi Tanaami.;;
62;Dolpalmae;https://myanimelist.net/anime/50534/Dolpalmae;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;돌팔매;Music;1;Finished Airing;Nov 11, 2020;['None found', 'add some'];None found, add some;VCRWORKS;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;N/A;#18748;#19466;132;0;;;;[];Music video for the song Stoning by Lee Juck feat. Jinpyo Kim.;;
