;title;link;preliminary
43;ReLIFE;https://myanimelist.net/anime/30015/ReLIFE;off
34;Dragon Ball;https://myanimelist.net/anime/223/Dragon_Ball;off
35;Prison School;https://myanimelist.net/anime/30240/Prison_School;off
52;Overlord II;https://myanimelist.net/anime/35073/Overlord_II;off
89;Black Lagoon;https://myanimelist.net/anime/889/Black_Lagoon;off
53;Fairy Tail (2014);https://myanimelist.net/anime/22043/Fairy_Tail_2014;off
40;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze;off
17;Dr. Stone: Stone Wars;https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars;off
8;Shokugeki no Souma: San no Sara;https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara;off
26;Wotaku ni Koi wa Muzukashii;https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii;off
54;Fate/stay night;https://myanimelist.net/anime/356/Fate_stay_night;off
18;Darker than Black: Kuro no Keiyakusha;https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha;off
37;Kanojo, Okarishimasu;https://myanimelist.net/anime/40839/Kanojo_Okarishimasu;off
55;Tenki no Ko;https://myanimelist.net/anime/38826/Tenki_no_Ko;off
30;Sono Bisque Doll wa Koi wo Suru;https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru;off
45;Byousoku 5 Centimeter;https://myanimelist.net/anime/1689/Byousoku_5_Centimeter;off
9;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation;off
56;Rakudai Kishi no Cavalry;https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry;off
19;Plastic Memories;https://myanimelist.net/anime/27775/Plastic_Memories;off
38;Gekkan Shoujo Nozaki-kun;https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun;off
20;Black Bullet;https://myanimelist.net/anime/20787/Black_Bullet;off
21;Suzumiya Haruhi no Yuuutsu;https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu;off
96;Hellsing Ultimate;https://myanimelist.net/anime/777/Hellsing_Ultimate;off
47;Kimi ni Todoke;https://myanimelist.net/anime/6045/Kimi_ni_Todoke;off
40;High School DxD New;https://myanimelist.net/anime/15451/High_School_DxD_New;off
48;Kimi no Suizou wo Tabetai;https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai;off
37;Ao Haru Ride;https://myanimelist.net/anime/21995/Ao_Haru_Ride;off
41;5-toubun no Hanayome;https://myanimelist.net/anime/38101/5-toubun_no_Hanayome;off
42;Baccano!;https://myanimelist.net/anime/2251/Baccano;off
22;Yakusoku no Neverland 2nd Season;https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season;off
23;Neon Genesis Evangelion: The End of Evangelion;https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion;off
4;Haikyuu!! To the Top;https://myanimelist.net/anime/38883/Haikyuu_To_the_Top;off
57;Kami no Tou;https://myanimelist.net/anime/40221/Kami_no_Tou;off
58;Mahoutsukai no Yome;https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome;off
59;Youjo Senki;https://myanimelist.net/anime/32615/Youjo_Senki;off
43;Tensei shitara Slime Datta Ken 2nd Season;https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season;off
61;The God of High School;https://myanimelist.net/anime/41353/The_God_of_High_School;off
44;Nichijou;https://myanimelist.net/anime/10165/Nichijou;off
62;Overlord III;https://myanimelist.net/anime/37675/Overlord_III;off
19;Yuri!!! on Ice;https://myanimelist.net/anime/32995/Yuri_on_Ice;off
45;Kekkai Sensen;https://myanimelist.net/anime/24439/Kekkai_Sensen;off
24;Btooom!;https://myanimelist.net/anime/14345/Btooom;off
64;No Game No Life: Zero;https://myanimelist.net/anime/33674/No_Game_No_Life__Zero;off
25;"Steins;Gate 0";https://myanimelist.net/anime/30484/Steins_Gate_0;off
65;Boruto: Naruto Next Generations;https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations;off
66;Tokyo Ghoul:re 2nd Season;https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season;off
20;Kotonoha no Niwa;https://myanimelist.net/anime/16782/Kotonoha_no_Niwa;off
67;Fate/stay night: Unlimited Blade Works 2nd Season;https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season;off
6;Kuroko no Basket 2nd Season;https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season;off
46;Masamune-kun no Revenge;https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge;off
68;Magi: The Kingdom of Magic;https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic;off
69;Akatsuki no Yona;https://myanimelist.net/anime/25013/Akatsuki_no_Yona;off
47;Trinity Seven;https://myanimelist.net/anime/25157/Trinity_Seven;off
42;Kokoro Connect;https://myanimelist.net/anime/11887/Kokoro_Connect;off
71;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2;off
57;Beastars;https://myanimelist.net/anime/39195/Beastars;off
